Forum Post,Video Link,User,Account,Amount,Exchange Rate,Token Amount,Payout Link
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=1,https://play.joystream.org/channel/1857,gryhail,5CdJQtRVsS3gXZZsXXyfKdR65hypkTtPcjkWR3RFY8ZiqPJb,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x469063f232a42652ef1324e4a88bc1034f8a09a1af519745e0280d7b18bee8be
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=1,https://play.joystream.org/channel/1813,gryhail,5CdJQtRVsS3gXZZsXXyfKdR65hypkTtPcjkWR3RFY8ZiqPJb,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x469063f232a42652ef1324e4a88bc1034f8a09a1af519745e0280d7b18bee8be
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=1,https://play.joystream.org/channel/1736,gryhail,5CdJQtRVsS3gXZZsXXyfKdR65hypkTtPcjkWR3RFY8ZiqPJb,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x469063f232a42652ef1324e4a88bc1034f8a09a1af519745e0280d7b18bee8be
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=2,https://play.joystream.org/video/2275,okayko,5D5LvbeEuTAnZ4nHPcDjpqNox5yoYPLD1DhdhqkXdpugRM9a,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x4d4383771bb050049f63c2f25cd82af397253941749dc8f60e3bc797f0a44f59
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=3,https://play.joystream.org/channel/1723,lopegor,5HBzJjHy5SH8dwaN5wqQhVrDuAhct1go5Lh6KMDWWaXMmZeX,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x2ee995694227c2ca8479c4afd850a6e7ee969a9ff84e54c633b9a1fb243225d7
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=3,https://play.joystream.org/channel/1723,lopegor,5HBzJjHy5SH8dwaN5wqQhVrDuAhct1go5Lh6KMDWWaXMmZeX,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x2ee995694227c2ca8479c4afd850a6e7ee969a9ff84e54c633b9a1fb243225d7
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=3,https://play.joystream.org/channel/1723,lopegor,5HBzJjHy5SH8dwaN5wqQhVrDuAhct1go5Lh6KMDWWaXMmZeX,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x2ee995694227c2ca8479c4afd850a6e7ee969a9ff84e54c633b9a1fb243225d7
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=3,https://play.joystream.org/channel/1723,lopegor,5HBzJjHy5SH8dwaN5wqQhVrDuAhct1go5Lh6KMDWWaXMmZeX,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x2ee995694227c2ca8479c4afd850a6e7ee969a9ff84e54c633b9a1fb243225d7
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=3,https://play.joystream.org/channel/2011,lopegor,5HBzJjHy5SH8dwaN5wqQhVrDuAhct1go5Lh6KMDWWaXMmZeX,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x2ee995694227c2ca8479c4afd850a6e7ee969a9ff84e54c633b9a1fb243225d7
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=4,https://play.joystream.org/video/2270,oskarte,5EcZ8QA3ySjxp6zN5uLFAcDbCAkzuVpAFYRBbXYFFuMV1cw3,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0xab102e11ea9f2a5cea6c3b4f1cc2992956f0cb93368b50c2f4abb1e30cf38a85
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=5,https://play.joystream.org/video/2258,niknat,5Gba6Ap7vsEBM4m4M9tjiLp6y3ysZiN3kjNcrmso6EtvLck5,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x6397b996610d61cd6a90f6bb3c5a2ffcfba2f4d60927b163255dfe1795cce36f
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=6,https://play.joystream.org/channel/2086,nilscat,5C8CCTZ6xVzkKMrtWRgkA9mDSN8i22xBf9eQ9arwCBPwtgeR,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x19637ccdd5ea5c2a5f5d1c7f3efb40d37ccb7960279f68eaa2e886fc3b5c59db
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=7,https://play.joystream.org/video/1845,pascual,5HKxxHLPF8ZHWiXndug9y4hRRnDiPUiWnRbutNCjcQ8ur14q,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x497745addb63dd8b61b1e0addf78109718e73b38805ffe1945b0ea19e8d78676
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=8,https://play.joystream.org/video/2385,hayabusa,5HQA9D3CxZaBiTvDStCzYQh1bsWeJ6aeg8keafcPBUYuNqBV,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0xd0439e6b51cefb638d48959725b305f91ae8bb298ea7b3b2220301fee304bce5
https://testnet.joystream.org/#/forum/threads/292?page=1&replyIdx=9,https://play.joystream.org/video/1712,igrex,5H3hJqNb8Je2sfcGkxFQqsxn1FTy96bHrRW6wGCDwiLeCW1i,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0xb2ce8adf457cdd078748aafecd13074126a70674526f772174d6e849972ebae2
https://testnet.joystream.org/#/forum/threads/292?page=2&replyIdx=11,https://play.joystream.org/channel/2044,vitdetz,5HmV5RJTMinPq7pKqwyUKgnhLHfrJKwmj9TAUvZkwixoGYXU,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x0bee76c140ed90816e601dc61ae72ceec745c3e7fcdaaba8c59d32c04a14ae88
https://testnet.joystream.org/#/forum/threads/292?page=2&replyIdx=11,https://play.joystream.org/video/2054,vitdetz,5HmV5RJTMinPq7pKqwyUKgnhLHfrJKwmj9TAUvZkwixoGYXU,3,0.0000391,76726,https://testnet.joystream.org/#/explorer/query/0x0bee76c140ed90816e601dc61ae72ceec745c3e7fcdaaba8c59d32c04a14ae88
